time,open,high,low,close,Volume,Volume MA,MA
97425000,116.029999,118.980003,109.800003,111.68,318190000,331098000,111.45599960000008
99844200,111.68,115.610001,107.410004,111.519997,343400000,335006000,113.5880004000001
102609000,111.519997,113.650002,105.440002,106.970001,277990000,332879500,114.5760010000001
105111000,106.970001,112.25,101.360001,104.949997,337260000,337106500,114.80200040000011
107789400,104.949997,109.519997,101.449997,104.260002,268700000,336537500,114.78999940000013
110467800,104.099998,111.040001,100.440002,108.220001,307780000,338106000,112.85000000000011
113059800,108.169998,108.169998,99.739998,104.25,274460000,332945000,110.22999880000012
115911000,104.25,110.449997,102.129997,108.43,329070000,330424000,107.87599940000011
118330200,108.43,112.82,107.080002,108.290001,422900000,332756000,107.1839996000001
121012200,108.290001,109.199997,94.879997,95.959999,399900000,332568500,105.7300002000001
123777000,95.830002,99.089996,91.050003,97.550003,384380000,333388000,106.02200000000012
126282600,97.550003,100.940002,91.620003,96.57,363150000,334753000,106.69000080000012
128957400,96.57,97.43,89.529999,96.220001,256810000,331868000,105.03000020000013
131376600,96.220001,101.050003,93.440002,93.980003,309600000,332903000,102.89600060000012
134055000,93.980003,95.419998,88.620003,90.309998,254270000,327770000,101.36000060000012
136647000,90.309998,93.589996,85.870003,87.279999,275150000,329218000,98.91800080000012
139498200,87.279999,93.760002,85.129997,86,245340000,325620000,96.05600120000011
141917400,86,86.889999,78.959999,79.309998,274090000,319046000,94.92600100000013
144595800,79.309998,83.529999,69.370003,72.150002,280100000,315814500,92.87200020000012
147360600,72.150002,73.010002,62.52,63.540001,280050000,310129500,90.75800020000011
149866200,63.540001,75.900002,60.959999,73.900002,377100000,313075000,87.37599960000013
152548200,73.900002,77.410004,66.849998,69.970001,286790000,310244500,83.00999940000013
155226600,69.800003,69.800003,64.129997,68.559998,315150000,312102500,77.65600000000013
157818600,68.650002,78.690002,68.650002,76.980003,432550000,316867000,74.98000060000012
160669800,76.980003,83.559998,76,81.589996,423640000,324614000,71.77400080000014
163085400,81.589996,87.080002,80.080002,83.360001,453610000,331905500,69.62400080000013
165591000,83.360001,88.790001,79.660004,87.300003,451350000,340750000,70.59000100000014
168183000,87.300003,93.510002,86.940002,91.150002,457490000,347171000,74.20000000000013
170947800,91.32,95.849998,89.300003,95.190002,447000000,348376000,76.09199980000014
